cuando|etapa|decision|por_que|evidencia|resultado
2026-09-23T18:13:11Z|implement|Sync nuevo en scripts/sync-seguro (.mjs) con manifiesto positivo versionado, denylist cerrada, staging fuera del vivo y reemplazo por archivo con temporal O_EXCL|Contrato Propiedad del runtime Windows: fuente fuera de C:\Users\ehven\.openclaw, deploy por manifiesto+staging+validacion+read-back; el bloqueante #134 exigia eliminar el temporal predecible que seguia symlinks|commit b701145; test-u1-symlink-temp.mjs rojo independiente vs copia vulnerable, verde vs codigo actual|implementado-y-commiteado
2026-09-23T18:13:11Z|verify|VERIFIED con 3 huecos no bloqueantes (H1 O_EXCL sin pin de test, H2/H3 guardias symlink de stage sin test)|Verifier re-derivo todo: 5 alcances PASS con corridas propias, 6 mutantes en /tmp; los huecos son defensa en profundidad ya cubierta por otra capa fijada (nombre 128 bits, re-validacion en publish)|re-corridas 2/2+25/25+10/10+4/4, watchdog rc=0, sync viejo 4/4 rc=0, worktree limpio|verificado
2026-09-23T18:20:13Z|review1|REQUEST_CHANGES solo por B1: el trail 820de96 rompio test-u1-un-solo-watchdog.sh (mencionaba sync-seguro fuera del allowlist); resto paso (seguridad #134 sin bypass, contrato U1, 41/41, higiene)|El propio gate del arbol quedaba en rojo en el SHA final y la fila U1 exige CI verde del SHA final; fix minimo de 1 linea en el test|ronda reviewer 1: B1 con reproduccion rc=1; N1-N6 no bloqueantes registrados|reabierto-solo-B1
2026-09-23T18:20:13Z|fix|Admitir .saikit/* en el case del watchdog (el rastro documenta, no ejecuta ni programa nada); commit 35abccc|Fix minimo exigido por el reviewer; N1-N6 y pins H2/H3 quedan como hardening futuro no exigido|rojo rc=1 previo, verde rc=0 + 41/41 .mjs posterior, pre-commit sin --no-verify|corregido
2026-09-23T19:57:14Z|crossreview|Cross-review: grok 5 intentos colgados; cadena auto cayo a codex con 2 BLOQUEANTES con repro (B2 ya-publicado no registrado permite sobrescribir edicion viva; B3 .ledger symlinkeado escribe fuera). Validados en codigo por el lead; abren ronda.|B2 rompe el contrato U1 de ediciones vivas; B3 repite N3 interno ahora con reproduccion. Regla 4: bloqueante con repro abre ronda.|/tmp/cross-review-auto.txt: codex 2 bloqueantes; claude/kimi sin cuota, glm colgado, qwen 403|reabierto-B2-B3
2026-09-23T19:57:14Z|fix2|Fix 7d9e4d8: adopcion de ya-publicados en ledger (saveInstalled si hubo adopcion) + ensureLedgerDir exige directorio real; 2 tests rojo-verde|Fixes minimos exigidos; idempotencia preservada (sin adopcion no se escribe)|rojo pre-fix verbatim B2+B3; suite 43/43 + watchdog rc=0; pre-commit sin --no-verify|corregido
2026-09-23T21:15:47Z|fixB4B5|Fix 78da34d: B4 pinning de seleccion a SHA de Git (rechaza bytes dirty, registra commit) + B5 recuperacion del corte txn-sin-journal (reconstruye de lo fresco, aborta ante respaldo ajeno); 4 tests rojo-verde|B4 cerraba manifiesto-con-bytes-dirty; B5 cerraba reintento-tras-corte-sin-limpieza-manual. Alcance: 2 scripts + 2 tests + README.|rojo pre-fix verbatim 4/4; suite 47/47 + watchdog rc=0; pre-commit sin --no-verify|corregido
2026-09-23T21:15:47Z|verify2|VERIFIED (items 1-5 PASS): verifier reprodujo rojos pre-fix por su cuenta citando la razon intencional, sondas propias B5 ajenos y R1/R2/R3; riesgos R1-R3 no bloqueantes; huecos O1-O5 bajos (2 rutas sin pin de test, trail)|Re-derivacion independiente completa incluyento follow-up del item 5 (el brief inicial no expuso los 3 riesgos; corregido en follow-up)|47/47, watchdog rc=0, 43+4 sin cambio semantico, sondas SONDA-B5-OK y SONDA-R-OK|verificado
2026-09-24T01:28:57Z|fixB6B7|Fix 9daaccc: B6 stage re-valida cada byte contra git show <commit>:<ruta> (manifiesto a mano rechazado) + B7 backupTarget con lstat a todos los componentes y mkdir de un nivel; 5 tests rojo-verde|B6 cerraba staging-publicacion ante manifiesto a mano; B7 cerraba escritura fuera via backup symlinkeado. Alcance: 2 scripts + README + 3 pruebas.|rojo pre-fix verbatim B6+B7a1+B7a2; suite 52/52 + watchdog rc=0; pre-commit sin --no-verify|corregido
2026-09-24T01:28:57Z|verify3|VERIFIED (items 1-5 PASS): verifier reprodujo rojos pre-fix via git archive citando la razon intencional; R1 publish-directo demostrado pero fuera del contrato de la ronda; R2 TOCTOU preexistente sin demo; 0 bloqueantes|Re-derivacion independiente completa; riesgos residuales registrados con sonda propia|52/52, watchdog rc=0, 47+5 sin cambio semantico, fuera intacto verificado|verificado
2026-09-24T05:27:47Z|fixD1D2|Fix 21c552d (D1): identidad canonica CRLF→LF en build/stage, SHA del blob pinneado y stage publica bytes del blob; fix 64de6d8 (D2): canonicalEolBytes prealocado de un solo buffer + binarios con NUL en crudo; 6 tests rojo-verde (D1x2+e2e, miles-CRLF, D2x2)|D1 cerraba el falso rechazo con core.autocrlf=true (repro: build viejo rc=1, nuevo rc=0 con CRLF real); D2 cerraba OOM por view-por-par y normalizacion de binarios. Alcance: 3 scripts + README + 2 tests.|rojo pre-fix verbatim D1-CRLF y D2-binario; suite 70/70 + watchdog rc=0; bateria local run-checks rc=0 TODO VERDE en 21c552d; pre-commit sin --no-verify|corregido
